indicator,gender,ageMonths,L,M,S,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
WEIGHT_FOR_AGE,MALE,10,0.082,9.1649,0.10891,6.6,7.4,8.2,9.2,10.2,11.4,12.7
WEIGHT_FOR_AGE,MALE,11,0.073,9.4122,0.10906,6.8,7.6,8.4,9.4,10.5,11.7,13
WEIGHT_FOR_AGE,MALE,12,0.0644,9.6479,0.10925,6.9,7.7,8.6,9.6,10.8,12,13.3
WEIGHT_FOR_AGE,MALE,13,0.0563,9.8749,0.10949,7.1,7.9,8.8,9.9,11,12.3,13.7
WEIGHT_FOR_AGE,MALE,14,0.0487,10.0953,0.10976,7.2,8.1,9,10.1,11.3,12.6,14
WEIGHT_FOR_AGE,MALE,15,0.0413,10.3108,0.11007,7.4,8.3,9.2,10.3,11.5,12.8,14.3
WEIGHT_FOR_AGE,MALE,16,0.0343,10.5228,0.11041,7.5,8.4,9.4,10.5,11.7,13.1,14.6
WEIGHT_FOR_AGE,MALE,17,0.0275,10.7319,0.11079,7.7,8.6,9.6,10.7,12,13.4,14.9
WEIGHT_FOR_AGE,MALE,18,0.0211,10.9385,0.11119,7.8,8.8,9.8,10.9,12.2,13.7,15.3
WEIGHT_FOR_AGE,MALE,19,0.0148,11.143,0.11164,8,8.9,10,11.1,12.5,13.9,15.6
WEIGHT_FOR_AGE,MALE,20,0.0087,11.3462,0.11211,8.1,9.1,10.1,11.3,12.7,14.2,15.9
WEIGHT_FOR_AGE,MALE,21,0.0029,11.5486,0.11261,8.2,9.2,10.3,11.5,12.9,14.5,16.2
WEIGHT_FOR_AGE,MALE,22,-0.0028,11.7504,0.11314,8.4,9.4,10.5,11.8,13.2,14.7,16.5
WEIGHT_FOR_AGE,MALE,23,-0.0083,11.9514,0.11369,8.5,9.5,10.7,12,13.4,15,16.8
